id;objetcampagne;description;debutcampagne;fincampagne;debutreelcamp;finreelcamp;isopen
1;Salad Architecte;Checking Autriche Awesome;2022-08-31T06:50:41;2022-08-30T21:28:44;2022-08-31T09:34:26;2022-08-31T10:41:54;true
2;Cheese c;hacking Saudi Card;2022-08-31T08:16:06;2022-08-30T14:20:49;2022-08-30T21:07:58;2022-08-30T18:15:38;false
3;override Business-focused Salomon;parsing Developpeur Sleek;2022-08-31T03:15:34;2022-08-30T16:44:35;2022-08-31T08:13:31;2022-08-31T10:40:06;true
4;c Customizable;cross-platform SMTP;2022-08-31T03:03:16;2022-08-30T18:25:23;2022-08-30T23:42:43;2022-08-31T03:36:06;false
5;system JBOD;compressing;2022-08-30T18:40:17;2022-08-30T15:46:42;2022-08-30T16:19:32;2022-08-31T06:27:26;true
6;initiative payment;transmit;2022-08-31T07:39:35;2022-08-30T16:09:08;2022-08-30T22:00:14;2022-08-31T06:30:32;false
7;a violet;Fantastic even-keeled transition;2022-08-30T23:51:27;2022-08-30T23:42:15;2022-08-31T12:02:24;2022-08-30T15:42:38;false
8;Balanced Triple-buffered;Concrete deposit;2022-08-30T19:45:28;2022-08-31T01:00:42;2022-08-30T22:48:13;2022-08-31T10:56:47;false
9;Berkshire;optical b;2022-08-31T08:09:28;2022-08-30T15:36:23;2022-08-30T13:12:53;2022-08-31T05:04:48;true
10;Interface Ingenieur;plum;2022-08-31T03:26:41;2022-08-30T15:41:21;2022-08-30T17:01:00;2022-08-30T18:38:30;true
