id;nomvariable;descvariable;champ;is_active
1;c;facilitate hacking;Executif encryption driver;true
2;Beauty;c;Sleek Cheese;true
3;Buckinghamshire Pound;Shirt;artificial;true
4;c a;blue;quantify;true
5;redefine Seine;invoice Small;needs-based c Unbranded;true
6;plum;Account microchip;connecting Designer;false
7;Account;override;Buckinghamshire bleeding-edge;true
8;world-class projection;integrated Monsieur-le-Prince cross-platform;digital;true
9;Clothing matrix withdrawal;open-source Market Incredible;Books;true
10;Riyal transparent HTTP;Clothing;drive Concrete Switchable;true
