id;nomstructure;siglestructure;telstructure;bpstructure;emailstructure;profondeur
1;Leone database Berkshire;leverage grey;port parsing Hat;Pizza;Franc withdrawal;29585
2;Franche-Comté Account;Oberkampf Australian enable;Wooden 1080p;Basse-Normandie;Ethiopian;12966
3;Adolphe;Fresh synergize real-time;Mongolie;a Car l'Odéon;haptic;57381
4;reintermediate;Basse-Normandie morph;digital vortals;incremental b;action-items Cross-group;56022
5;silver;Sausages SCSI;Tanzanie;Music;Incredible bypass B2B;58136
6;Botswana Streamlined;firmware Bike Gloves;RAM;workforce Japon Account;interactive;95304
7;architectures;Generic Berkshire;Provence-Alpes-Côte;b;Jewelery;89232
8;Executif;transitional c;du heuristic withdrawal;parsing e-business;Limousin;37311
9;Handmade CSS productize;Nigeria;Cotton Jewelery Hat;c;innovative impactful;71251
10;Saint-Honoré scale Ball;Vatu;microchip payment Bangladesh;Card;CSS;87758
